Person A,Person B,Connection,Source(s),Type
DONALD J. TRUMP,KALPESH MEHTA,"exclusive representative of Trump's businesses in India, per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"exclusive representative of Trump's businesses in India, per Newsweek"
DONALD J. TRUMP,KATHLEEN TROIA MCFARLAND,Deputy National Security Advisor,General knowledge,Deputy National Security Advisor
DONALD J. TRUMP,KELLYANNE CONWAY,White House Counselor,General knowledge,White House Counselor
DONALD J. TRUMP,LINDA MCMAHON,Nominee for Administrator of the Small Business Administration,General knowledge,Nominee for Administrator of the Small Business Administration
DONALD J. TRUMP,MANGAL PRABHAT LODHA,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html,Business partners
DONALD J. TRUMP,MARYANNE TRUMP BARRY,Siblings,General knowledge,family
DONALD J. TRUMP,MEHMET ALI YALCINDAG,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html,Business partners
DONALD J. TRUMP,MELANIA TRUMP,Married,General knowledge,family
DONALD J. TRUMP,MICHAEL FLYNN,National Security Advisor,General knowledge,National Security Advisor
DONALD J. TRUMP,MICHAEL POMPEO,Nominee for Director of CIA,General knowledge,Nominee for Director of CIA
DONALD J. TRUMP,MICK MULVANEY,Nominee for Director of Office of Management and Budget,General knowledge,Nominee for Director of Office of Management and Budget
DONALD J. TRUMP,NIKKI HALEY,Nominee for Ambassador to the United Nations,General knowledge,Nominee for Ambassador to the United Nations
DONALD J. TRUMP,OLEG MISERVA,Miserva bought a Trump penthouse in Florida,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html,Miserva bought a Trump penthouse in Florida
DONALD J. TRUMP,OMAROSÉ ONEE MANIGAULT,Assistant to the President and Director of Communications for the Office of Public Liaison,General knowledge,Assistant to the President and Director of Communications for the Office of Public Liaison
DONALD J. TRUMP,PRINCE ALWALEED BIN TALALTHE,"the billionaire [...] aided Trump during his corporate bankruptcies in the 1990s by purchasing his yacht, which provided him with desperately needed cash, per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"the billionaire [...] aided Trump during his corporate bankruptcies in the 1990s by purchasing his yacht, which provided him with desperately needed cash, per Newsweek"
DONALD J. TRUMP,RECEP TAYYIP ERDOGAN,"Erdogan, the president of Turkey and a vocal Trump supporter, met him during the ribbon-cutting of a Trump property",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"Erdogan, the president of Turkey and a vocal Trump supporter, met him during the ribbon-cutting of a Trump property"
DONALD J. TRUMP,REINCE PRIEBUS,White House Chief of Staff,General knowledge,White House Chief of Staff
DONALD J. TRUMP,RICHARD LEFRAK,"one of Trump's few close friends in New York real estate, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,"one of Trump's few close friends in New York real estate, per New York Magazine"
DONALD J. TRUMP,RICK PERRY,Nominee for Secretary of Energy,General knowledge,Nominee for Secretary of Energy
DONALD J. TRUMP,ROBERT LIGHTHIZER,Nominee for U.S. Trade Representative,General knowledge,Nominee for U.S. Trade Representative
DONALD J. TRUMP,ROGER KHAFIF,"Told Russian buyers he was a partner in Trump project in Sunny Isles, Fla.",https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html,Business partners
DONALD J. TRUMP,RYAN ZINKE,Nominee for Secretary of Interior,General knowledge,Nominee for Secretary of Interior
DONALD J. TRUMP,SCOTT PRUITT,Nominee for Administrator of the Environmental Protection Administration,General knowledge,Nominee for Administrator of the Environmental Protection Administration
DONALD J. TRUMP,SEAN SPICER,White House Press Secretary,General knowledge,White House Press Secretary
DONALD J. TRUMP,SERGEY I. KISLYAK,The Russian diplomat sat in on Trump foreign policy speech in April 2016,https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html,The Russian diplomat sat in on Trump foreign policy speech in April 2016
DONALD J. TRUMP,STEPHEN BANNON,White House Chief Strategist and Senior Advisor,General knowledge,White House Chief Strategist and Senior Advisor
DONALD J. TRUMP,STEPHEN MILLER,Senior Advisor to the President for Policy,General knowledge,Senior Advisor to the President for Policy
DONALD J. TRUMP,STEVEN MNUCHIN,Nominee for Secretary of Treasury,General knowledge,Nominee for Secretary of Treasury
DONALD J. TRUMP,TOM BOSSERT,Homeland Security Advisor,General knowledge,Homeland Security Advisor
DONALD J. TRUMP,TOM PRICE,Nominee for Secretary of Health and Human Services,General knowledge,Nominee for Secretary of Health and Human Services
DONALD J. TRUMP,VICTOR PINCHUK,Trump made video appearance for Pinchuk's convention,https://www.buzzfeed.com/paulmcleod/trump-foundation-received-150000-donation-in-exchange-for-20?utm_term=.wtQZdJa2V#.llzLxNkYw,Trump made video appearance for Pinchuk's convention
DONALD J. TRUMP,WILBUR ROSS,Nominee for Secretary of Commerce,General knowledge,Nominee for Secretary of Commerce
DONALD TRUMP JR.,ANDRIY ZAIKA,"Met in 2006, when Zaika was head of the Ukrainian Construction Consortium",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"Met in 2006, when Zaika was head of the Ukrainian Construction Consortium"
DONALD TRUMP JR.,BERNARD R. DIAMOND,Business partners,Nexis,Business partners
DONALD TRUMP JR.,BONNIE HAYDON,Father-in-law/son-in-law,Nexis — NYT 11/19/2006,family
DONALD TRUMP JR.,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump,The Argentine real estate developer is said to be friends with the Trump family
DONALD TRUMP JR.,JASON D. GREENBLATT,Business partners,Nexis,Business partners
DONALD TRUMP JR.,RUSSELL FLICKER,Business partners,Nexis,Business partners
DONALD TRUMP JR.,VANESSA TRUMP,Married,General knowledge,family
DONALD TRUMP JR.,VIKTOR TKACHUK,"Met in 2006, when Tkachuk was an adviser to the Ukrainian president",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"Met in 2006, when Tkachuk was an adviser to the Ukrainian president"
ERIC TRUMP,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family; Yaryura and Eric Trump were photographed together at Trump's election night party,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump,The Argentine real estate developer is said to be friends with the Trump family; Yaryura and Eric Trump were photographed together at Trump's election night party
GEORGE SOROS,STEVEN MNUCHIN,Mnuchin worked for Soros' fund,http://www.vanityfair.com/news/2016/11/george-soros-declares-war-on-trump,Mnuchin worked for Soros' fund
GEORGE T. CONWAY III,KELLYANNE CONWAY,Married,General knowledge,family
IVANKA TRUMP,ANDRIY ZAIKA,"Met in 2006, when Zaika was head of the Ukrainian Construction Consortium",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"Met in 2006, when Zaika was head of the Ukrainian Construction Consortium"
IVANKA TRUMP,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump,The Argentine real estate developer is said to be friends with the Trump family
IVANKA TRUMP,JARED KUSHNER,Married,General knowledge,family
IVANKA TRUMP,MEHMET ALI YALCINDAG,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html,Business partners
IVANKA TRUMP,PAULO FIGUEIREDO FILHO,"Lunched together, spawning Trump interest in Rio hotel",http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html,"Lunched together, spawning Trump interest in Rio hotel"
IVANKA TRUMP,VIKTOR TKACHUK,"Met in 2006, when Tkachuk was an adviser to the Ukrainian president",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"Met in 2006, when Tkachuk was an adviser to the Ukrainian president"
JARED KUSHNER,ASHER ABEHSERA,Partnered with Kushner in Brooklyn projects,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,Business partners
JARED KUSHNER,CHARLES KUSHNER,Parent/child,General knowledge,family
JARED KUSHNER,MARGARET CHIN,Donor,http://thevillager.com/2013/07/25/the-billionaires-back-margaret-chin-for-city-council/,Donor
JARED KUSHNER,MARTIN SORRELL,Friends,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,Friends
JARED KUSHNER,MILES BERGER,"business partner of the Kushners, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,Business partners
JARED KUSHNER,ROB SPEYER,Gave Kushner $50 million to help by a property from his father's company-Tishman Speyer,http://nymag.com/realestate/features/53797/index5.html,Business partners
JARED KUSHNER,STRAUSS ZELNICK,"close with Kushner, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,"close with Kushner, per New York Magazine"
JOSE E.B. ANTONIO,"JOSE ROBERTO ""ROBBIE"" ANTONIO",Parent/child,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=0,family
JOSHUA KUSHNER,JARED KUSHNER,Brothers,General knowledge,family
LEV LEVIEV,VLADIMIR PUTIN,"Described him as a ""true friend""",http://www.nytimes.com/2007/09/16/magazine/16Leviev-t.html,"Described him as a ""true friend"""
LUCIUS JOSEPH RICCIO,RHONA GRAFF RICCIO,Married,General knowledge,family
MARK BURNETT,ROMA DOWNEY,Married,General knowledge,family
MEHMET ALI YALCINDAG,AYDIN DOGAN,Father-in-law/son-in-law,http://www.hurriyetdailynews.com/a-major-shake-up-at-dogan-media.aspx?PageID=238&NID=104450&NewsCatID=345,family
MIKE PENCE,DONALD J. TRUMP,Vice President,General knowledge,Vice President
OMAROSÉ ONEE MANIGAULT,ALBERT ROSS SR.,Mentored by,http://www.omarosa.com/#,Mentored by
OMAROSÉ ONEE MANIGAULT,H. B. HICKS,Mentored by,http://www.omarosa.com/#,Mentored by
REX TILLERSON,VLADIMIR PUTIN,Awarded Order of Friendship,http://www.politico.com/magazine/story/2016/12/rex-tillerson-exxon-putin-russia-ties-friend-214515,Awarded Order of Friendship
RHONA GRAFF RICCIO,DONALD J. TRUMP,Assistant,http://www.nytimes.com/1993/04/19/style/weddings-rhona-c-graff-lucius-j-riccio.html,Assistant
RICHARD DEVOS,BETSY DEVOS,Parent/child,General knowledge,family
"RICHARD MARVIN ""DICK"" DEVOS JR.",BETSY DEVOS,Married,General knowledge,family
RICK PERRY,PETER HOLT,"Perry consulted for Holt, after governorship to which Holt gave money",https://www.texastribune.org/2015/07/10/perry-consulting-big-donor-disclosures/,"Perry consulted for Holt, after governorship to which Holt gave money"
ROBERT LIGHTHIZER,BOB DOLE,Lighthizer was Dole's campaign treasurer in 1996,http://www.pbs.org/newshour/rundown/trump-nominates-robert-lighthizer-u-s-trade-representative/,Lighthizer was Dole's campaign treasurer in 1996
RUDY GIULIANI,KEN KURSON,Worked on 2008 presidential campaign,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,Worked on 2008 presidential campaign
SALLY PRIEBUS,REINCE PRIEBUS,Married,General knowledge,family
SCOTT PRUITT,HAROLD G. HAMM,"Hamm, chief executive of Continental Energy, was Pruitt's 2013 re-election co-chair",http://www.cnbc.com/2016/12/08/scott-pruitt-is-great-pick-to-lead-epa-says-pruitt-ally-harold-hamm.html,"Hamm, chief executive of Continental Energy, was Pruitt's 2013 re-election co-chair"
SHANNON MCGAHN,DON MCGAHN,Married,General knowledge,family
SUSAN POMPEO,MICHAEL POMPEO,Married,http://pompeo.house.gov/biography/,family
WILBUR ROSS,RUDY GIULIANI,Privatization advisor when Giuliani was mayor,http://www.salon.com/2016/11/21/wilbur-ross-jr-rumored-to-be-donald-trumps-choice-for-commerce-secretary-owned-a-mine-where-12-miners-died-in-2006_partner/,Privatization advisor when Giuliani was mayor
WU XIAOHUI,ZHUO RAN,"Married. (Zhuo is the granddaughter of Deng Xiaoping, the former leader of the People's Republic of China. Wu is the chairman of the Anbang Insurance Group, which has been in business discussions with the Kushners.)",https://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html,family
